L1-icache-load-misses,branch-loads,dTLB-store-misses,L1-dcache-load-misses,bus-cycles,branch-instructions,LLC-load-misses,cpu-cycles,cache-references,dTLB-load-misses,L1-dcache-stores,branch-misses,LLC-stores,iTLB-load-misses,branch-load-misses,LLC-loads,L1-dcache-loads,cache-misses,LLC-store-misses,instructions
475542,5122896,0,38189,35167630,3215371,3256,70345839,17659185,0,18109555,596303,533306,0,595667,533337,18109552,39930,3229,48298774
477956,5100531,5,38691,35202345,3195744,3185,70340878,18085830,5,18091204,593601,521232,2,590405,521214,18091203,38673,3191,49666688
474978,5119619,0,38751,35182188,3219414,3446,70259297,18109617,0,18065417,597146,534278,0,597052,534268,18065420,40960,3450,49539783
478842,5093327,0,38341,35173041,3179840,3972,70316598,18089630,0,18121567,591646,529059,0,590964,528786,18121568,37603,3970,49563344
476310,5071673,0,38165,35165346,3243347,3396,70396786,18122871,0,18115224,602936,528558,0,591531,528835,18115223,41525,3391,49641426
477425,4384988,0,38572,35172388,3213268,2844,70364103,18122828,0,18110815,596643,461263,0,508825,460907,18108844,40205,2839,49657440
480495,4390404,0,38957,35163409,3205041,2911,70370778,18112432,0,18111630,595250,457535,0,509175,457408,18113600,40774,2925,49577886
475976,5109779,1,38654,35211811,3218466,3385,70331178,18119744,1,18097257,597868,525085,1,594912,525360,18097258,39962,3375,49766189
473815,5093188,1,37777,35155675,3229081,3002,70311676,18085303,1,18107549,596929,527883,0,592008,528112,18107549,40471,3016,49626355
472048,4359441,2,37927,35154749,3235314,2896,70367080,18098050,2,18105433,597964,456880,1,504184,456872,18103989,40890,2885,49538202
476047,4401464,1,39172,35173821,3218113,3028,70341023,18081717,1,18055318,595958,470967,1,511618,470943,18056762,39956,3018,49483378
475785,5127324,1,38898,35226128,3225176,2971,70286685,18107462,1,18089091,596900,531663,2,597767,531720,18089091,39851,2971,49621378
474338,5110041,2,37975,35158329,3211290,2936,70375537,18079598,2,18138659,595353,529039,2,594866,528857,18138658,39371,2942,49555383
477462,5107593,0,38256,35196690,3213615,3376,70348027,18123159,0,18105428,596495,530304,1,594258,530460,18105428,39410,3374,49660257
479413,5120573,0,39243,35148256,3210801,3586,70323782,18092122,0,18096714,596172,534220,1,598525,534250,18096714,39250,3585,49725111
481178,4387209,5,40113,35160649,3181264,3678,70320706,18108537,5,18075063,591185,465579,2,509447,465531,18075063,49636,3691,49586921
479399,4409642,5,39388,35221480,3220226,2951,70301720,18094694,5,18113471,598094,472919,1,513275,472947,18110439,40139,2931,49598063
488339,5076949,5,49073,35160284,3226844,2713,70388994,18128238,5,17684948,597601,519463,1,588018,519443,17687980,40565,2720,49603333
474914,5116363,4,39170,35160609,3213087,3367,70305549,18101436,4,18098118,595568,533755,1,596080,533771,18098119,40149,3375,49463159
477317,5119382,2,39407,35168956,3217591,2934,70318445,18118092,2,18083199,599493,529893,1,593752,529898,18083198,39640,2923,49623513
475676,5106182,1,38329,35153345,3211769,3028,70346446,18113031,1,18092445,594995,529096,0,594546,529092,18089199,40236,3057,49667831
475278,5120243,0,39094,35182403,3211194,3096,70287077,18090534,0,18073351,595567,530331,0,596758,530311,18076599,39472,3080,49465666
480399,5099658,4,39048,35157053,3212030,3096,70368542,18080907,4,18109139,593829,525172,3,593252,525175,18109137,39121,3092,49427716
479726,5111806,2,39171,35161150,3227617,3344,70311483,18100231,2,18104245,596817,530289,1,595441,530291,18104245,40451,3342,49537539
476281,5147884,1,39050,35150052,3214385,3433,70325111,18082407,1,18099387,597450,540773,2,600963,540788,18099388,39871,3436,49639871
476928,4449588,4,38016,35167580,3230478,2794,70367498,18124082,4,18113363,598921,472756,1,518702,472757,18113362,40543,2781,49612689
476683,4401260,4,39377,35177884,3206221,2686,70298159,18136982,4,18082709,598044,468690,2,513244,468278,18082711,39192,2688,49719732
477639,5035656,1,39591,35172416,3212826,3797,70301427,18085866,1,18098925,597553,526296,1,586430,526311,18098924,39301,3820,49449401
476346,5099344,4,38788,35154630,3206742,3654,70387767,18139320,4,18109623,596094,525930,3,593602,526310,18107656,39880,3642,49724221
473218,5077470,2,37025,35176135,3212078,17288,70360570,18103656,2,18148776,596653,569902,1,592636,569894,18150744,38931,17332,49546376
475579,5117238,5,38306,35196216,3204453,3285,70398762,17814619,5,18143747,595106,530072,3,595428,530099,18141685,40710,3247,49012382
